trace_id,timestamp,EventId,EventTemplate,type,rec,log_level,component,source
51,03-17 16:13:40.305,E54,getNeighboringCellInfo calling app is <*>,Disk Failure,Check disk status and logs.,D,TelephonyManager,android
52,03-17 16:13:40.307,E130,shouldBlockLocation running ...,Client Disconnect,Check client-side logs.,W,PhoneInterfaceManager,android
53,03-17 16:13:40.308,E128,shouldBlockLocation  ret:false,Leader Election,Monitor leader election process.,I,PhoneInterfaceManager,android
54,03-17 16:13:40.309,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
55,03-17 16:13:40.319,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
56,03-17 16:13:40.322,E130,shouldBlockLocation running ...,Client Disconnect,Check client-side logs.,W,PhoneInterfaceManager,android
57,03-17 16:13:40.322,E128,shouldBlockLocation  ret:false,Leader Election,Monitor leader election process.,I,PhoneInterfaceManager,android
58,03-17 16:13:40.324,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
59,03-17 16:13:40.332,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
60,03-17 16:13:40.334,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
61,03-17 16:13:40.343,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
62,03-17 16:13:40.345,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",Leader Election,Monitor leader election process.,D,PowerManagerService,android
63,03-17 16:13:40.345,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
64,03-17 16:13:40.346,E130,shouldBlockLocation running ...,Client Disconnect,Check client-side logs.,W,PhoneInterfaceManager,android
65,03-17 16:13:40.346,E128,shouldBlockLocation  ret:false,Leader Election,Monitor leader election process.,I,PhoneInterfaceManager,android
66,03-17 16:13:41.480,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",Leader Election,Monitor leader election process.,D,PowerManagerService,android
67,03-17 16:13:41.481,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
68,03-17 16:13:41.481,E109,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",Session Error,Investigate session state.,D,PowerManagerService,android
69,03-17 16:13:41.614,E64,HBM brightnessIn =<*>,Disk Failure,Check disk status and logs.,I,DisplayPowerController,android
70,03-17 16:13:41.614,E65,HBM brightnessOut =<*>,Permission Issue,Review user permissions.,I,DisplayPowerController,android
71,03-17 16:13:41.614,E21,"Animating brightness: target=<*>, rate=<*>",Normal,No action needed.,D,DisplayPowerController,android
72,03-17 16:13:45.307,E164,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",Disk Failure,Check disk status and logs.,D,PowerManagerService,android
73,03-17 16:13:45.308,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
74,03-17 16:13:45.310,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
75,03-17 16:13:45.316,E69,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down true canceled false,Session Error,Investigate session state.,D,WindowManager,android
76,03-17 16:13:45.317,E67,"interceptKeyBeforeQueueing: key <*> , result : <*>",Config Warning,Check configuration syntax.,D,WindowManager,android
77,03-17 16:13:45.317,E164,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",Disk Failure,Check disk status and logs.,D,PowerManagerService,android
78,03-17 16:13:45.318,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
79,03-17 16:13:45.358,E113,resumeSuspendedAutohide,Timeout,Consider increasing timeout.,I,PhoneStatusBar,android
80,03-17 16:13:45.361,E68,interceptKeyTq keycode=<*> interactive=true keyguardActive=false policyFlags=<*> down false canceled false,Leader Election,Monitor leader election process.,D,WindowManager,android
81,03-17 16:13:45.362,E67,"interceptKeyBeforeQueueing: key <*> , result : <*>",Config Warning,Check configuration syntax.,D,WindowManager,android
82,03-17 16:13:45.362,E102,querySoundEffectsEnabled...,Connection Error,Verify connection settings.,V,AudioManager,android
83,03-17 16:13:45.382,E10,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",Client Disconnect,Check client-side logs.,D,PowerManagerService,android
84,03-17 16:13:45.382,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
85,03-17 16:13:45.382,E11,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",Normal,No action needed.,D,PowerManagerService,android
86,03-17 16:13:45.402,E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,Normal,No action needed.,V,WindowManager,android
87,03-17 16:13:45.405,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
88,03-17 16:13:45.408,E27,cancelAutohide,Config Warning,Check configuration syntax.,I,PhoneStatusBar,android
89,03-17 16:13:45.408,E84,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",Disk Failure,Check disk status and logs.,I,PhoneStatusBar,android
90,03-17 16:13:45.466,E25,Bad activity token: <*>@<*>,Permission Issue,Review user permissions.,W,ActivityManager,android
91,03-17 16:13:45.466,E7,<*>: <*> cannot be cast to <*>$Token,Config Warning,Check configuration syntax.,W,ActivityManager,android
92,03-17 16:13:45.512,E131,Skipping AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>}}} -- going to hide,Normal,No action needed.,V,WindowManager,android
93,03-17 16:13:45.598,E108,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",Leader Election,Monitor leader election process.,D,PowerManagerService,android
94,03-17 16:13:45.599,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
95,03-17 16:13:45.599,E109,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",Session Error,Investigate session state.,D,PowerManagerService,android
96,03-17 16:13:45.626,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
97,03-17 16:13:45.627,E27,cancelAutohide,Config Warning,Check configuration syntax.,I,PhoneStatusBar,android
98,03-17 16:13:45.627,E84,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",Disk Failure,Check disk status and logs.,I,PhoneStatusBar,android
99,03-17 16:13:46.143,E164,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",Disk Failure,Check disk status and logs.,D,PowerManagerService,android
100,03-17 16:13:46.144,E103,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=<*>,auto=<*>,adj=<*>.0userId=<*>",Timeout,Consider increasing timeout.,D,PowerManagerService,android
101,03-17 16:13:46.145,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
102,03-17 16:13:46.146,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
103,03-17 16:13:46.146,E93,"onTouchEvent::<*>, x=<*>.<*>, y=<*>.<*>",Timeout,Consider increasing timeout.,I,PanelView,android
104,03-17 16:13:46.148,E115,schedulePeek,Permission Issue,Review user permissions.,I,PanelView,android
105,03-17 16:13:46.153,E58,getRingtonePlayer...,Leader Election,Monitor leader election process.,V,AudioManager,android
106,03-17 16:13:46.155,E43,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,Timeout,Consider increasing timeout.,D,PhoneStatusBar,android
107,03-17 16:13:46.155,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
108,03-17 16:13:46.158,E161,"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?true",Normal,No action needed.,I,NotificationManager,android
109,03-17 16:13:46.158,E162,"updateLightsLocked,turn off notificationLight",Connection Error,Verify connection settings.,I,NotificationManager,android
110,03-17 16:13:46.159,E58,getRingtonePlayer...,Leader Election,Monitor leader election process.,V,AudioManager,android
111,03-17 16:13:46.161,E161,"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?true",Normal,No action needed.,I,NotificationManager,android
112,03-17 16:13:46.161,E162,"updateLightsLocked,turn off notificationLight",Connection Error,Verify connection settings.,I,NotificationManager,android
113,03-17 16:13:46.187,E97,"overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>",Config Warning,Check configuration syntax.,I,StackScrollAlgorithm,android
114,03-17 16:13:46.187,E145,"state.clipTopAmount:<*>, i:<*>",Permission Issue,Review user permissions.,I,StackScrollAlgorithm,android
115,03-17 16:13:46.187,E156,"updateClipping isOverlap:true, getTopPadding=<*>.<*>, Translation=<*>.<*>",Memory Leak,Inspect memory usage patterns.,I,StackScrollAlgorithm,android
116,03-17 16:13:46.187,E158,updateDimmedActivatedHideSensitive overlap:true,Leader Election,Monitor leader election process.,I,StackScrollAlgorithm,android
117,03-17 16:13:46.232,E59,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,Session Error,Investigate session state.,W,ActivityManager,android
118,03-17 16:13:46.240,E126,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>, <*> - <*>, <*>), dockedStackBounds=Rect(<*>, <*> - <*>, <*>)",Memory Leak,Inspect memory usage patterns.,I,PhoneStatusBar,android
119,03-17 16:13:46.240,E84,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",Disk Failure,Check disk status and logs.,I,PhoneStatusBar,android
120,03-17 16:13:46.241,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
121,03-17 16:13:46.242,E86,onExpandingStarted,Memory Leak,Inspect memory usage patterns.,I,PanelView,android
122,03-17 16:13:46.250,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
123,03-17 16:13:46.250,E94,onTrackingStarted,Disk Failure,Check disk status and logs.,I,PanelView,android
124,03-17 16:13:46.277,E41,Destroying surface Surface(name=<*>) called by <*>,Normal,No action needed.,I,WindowManager,android
125,03-17 16:13:46.285,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
126,03-17 16:13:46.290,E97,"overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>",Config Warning,Check configuration syntax.,I,StackScrollAlgorithm,android
127,03-17 16:13:46.290,E145,"state.clipTopAmount:<*>, i:<*>",Permission Issue,Review user permissions.,I,StackScrollAlgorithm,android
128,03-17 16:13:46.290,E156,"updateClipping isOverlap:true, getTopPadding=<*>.<*>, Translation=<*>.<*>",Memory Leak,Inspect memory usage patterns.,I,StackScrollAlgorithm,android
129,03-17 16:13:46.291,E158,updateDimmedActivatedHideSensitive overlap:true,Leader Election,Monitor leader election process.,I,StackScrollAlgorithm,android
130,03-17 16:13:46.304,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
131,03-17 16:13:46.306,E97,"overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>",Config Warning,Check configuration syntax.,I,StackScrollAlgorithm,android
132,03-17 16:13:46.306,E145,"state.clipTopAmount:<*>, i:<*>",Permission Issue,Review user permissions.,I,StackScrollAlgorithm,android
133,03-17 16:13:46.306,E156,"updateClipping isOverlap:true, getTopPadding=<*>.<*>, Translation=<*>.<*>",Memory Leak,Inspect memory usage patterns.,I,StackScrollAlgorithm,android
134,03-17 16:13:46.306,E158,updateDimmedActivatedHideSensitive overlap:true,Leader Election,Monitor leader election process.,I,StackScrollAlgorithm,android
135,03-17 16:13:46.317,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
136,03-17 16:13:46.318,E97,"overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>",Config Warning,Check configuration syntax.,I,StackScrollAlgorithm,android
137,03-17 16:13:46.318,E145,"state.clipTopAmount:<*>, i:<*>",Permission Issue,Review user permissions.,I,StackScrollAlgorithm,android
138,03-17 16:13:46.318,E156,"updateClipping isOverlap:true, getTopPadding=<*>.<*>, Translation=<*>.<*>",Memory Leak,Inspect memory usage patterns.,I,StackScrollAlgorithm,android
139,03-17 16:13:46.318,E158,updateDimmedActivatedHideSensitive overlap:true,Leader Election,Monitor leader election process.,I,StackScrollAlgorithm,android
140,03-17 16:13:46.338,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
141,03-17 16:13:46.339,E97,"overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>",Config Warning,Check configuration syntax.,I,StackScrollAlgorithm,android
142,03-17 16:13:46.339,E145,"state.clipTopAmount:<*>, i:<*>",Permission Issue,Review user permissions.,I,StackScrollAlgorithm,android
143,03-17 16:13:46.339,E156,"updateClipping isOverlap:true, getTopPadding=<*>.<*>, Translation=<*>.<*>",Memory Leak,Inspect memory usage patterns.,I,StackScrollAlgorithm,android
144,03-17 16:13:46.339,E158,updateDimmedActivatedHideSensitive overlap:true,Leader Election,Monitor leader election process.,I,StackScrollAlgorithm,android
145,03-17 16:13:46.350,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
146,03-17 16:13:46.352,E97,"overlapAmount:<*>.<*>, previousNotificationEnd:<*>.<*>, newYTranslation:<*>.<*>, location:<*>, i:<*>, getTopPadding:<*>.<*>, getLocationOnScreen():<*>",Config Warning,Check configuration syntax.,I,StackScrollAlgorithm,android
147,03-17 16:13:46.352,E145,"state.clipTopAmount:<*>, i:<*>",Permission Issue,Review user permissions.,I,StackScrollAlgorithm,android
148,03-17 16:13:46.352,E156,"updateClipping isOverlap:true, getTopPadding=<*>.<*>, Translation=<*>.<*>",Memory Leak,Inspect memory usage patterns.,I,StackScrollAlgorithm,android
149,03-17 16:13:46.352,E158,updateDimmedActivatedHideSensitive overlap:true,Leader Election,Monitor leader election process.,I,StackScrollAlgorithm,android
150,03-17 16:13:46.368,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
151,03-17 16:13:46.370,E155,"updateClipping isOverlap:false, getTopPadding=<*>.<*>, Translation=<*>.<*>",Permission Issue,Review user permissions.,I,StackScrollAlgorithm,android
152,03-17 16:13:46.370,E157,updateDimmedActivatedHideSensitive overlap:false,Config Warning,Check configuration syntax.,I,StackScrollAlgorithm,android
153,03-17 16:13:46.388,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
154,03-17 16:13:46.389,E155,"updateClipping isOverlap:false, getTopPadding=<*>.<*>, Translation=<*>.<*>",Permission Issue,Review user permissions.,I,StackScrollAlgorithm,android
155,03-17 16:13:46.389,E157,updateDimmedActivatedHideSensitive overlap:false,Config Warning,Check configuration syntax.,I,StackScrollAlgorithm,android
156,03-17 16:13:46.394,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
157,03-17 16:13:46.397,E148,suspendAutohide,Leader Election,Monitor leader election process.,I,PhoneStatusBar,android
